|X Start,Y Start,Z Start,X Rot,Y Rot,Z Rot,X Disp,Y Disp,Z Disp,X Rot Disp,Y Rot Disp,Z Rot Disp|
0.0381,0.0762,0.2667,0.0,0.0,0.0,-0.0053604859136566008,2.0917053339675125e-17,-1.0535871365546739e-05,1.8513507922259153e-15,0.15004555038862061,-1.8113396218923939e-14
0.0381,0.0381,0.3048,0.0,0.0,0.0,-9.7975374623431963e-05,2.1045092581209496e-05,8.435701157746548e-06,0.0024954819656334004,0.15157739087908451,0.0053694701697856893
0.0,0.11430000000000001,0.0381,0.0,0.0,0.0,-0.0051666249275694933,0.00019592345969424467,-0.005076940690927372,0.00091790996560857591,-0.15058729812375996,-0.0038648289462999931
0.0381,0.11430000000000001,0.0,0.0,0.0,0.0,-9.7975374830103882e-05,-2.1045092581156211e-05,-8.43570115776378e-06,0.0024954819656358546,-0.15157739087769337,-0.0053694701698312865
0.0762,0.11430000000000001,0.0381,0.0,0.0,0.0,-0.0051562526267667991,-0.00020018308028708502,0.0050501263484673663,-0.0030755838641019859,-0.00033461018726902168,0.00040218747976691384
0.0381,0.1524,0.0381,0.0,0.0,0.0,-0.004964187914808205,-4.441175026003919e-06,-2.6925914610935006e-05,-0.01633522886192066,-0.14977744313626951,-0.022061917702062825
0.0381,0.11430000000000001,0.0762,0.0,0.0,0.0,-0.010233656516192327,1.577852190057359e-05,-1.0715827483763407e-05,-0.00040727377584908213,-0.0026500412963631577,-0.0019719397483933779
0.0,0.11430000000000001,0.11430000000000001,0.0,0.0,0.0,-0.0051217521980996029,1.1892854334750247e-05,0.005110448196234252,-0.00099106596515656834,0.17287912087142426,-8.5458900134787935e-07
0.0762,0.11430000000000001,0.11430000000000001,0.0,0.0,0.0,-0.0051560210744831499,1.1629627362698139e-06,-0.0051214089918419315,0.0017988051175327094,0.00052560008942942132,-6.4901580968268266e-05
0.0381,0.1524,0.11430000000000001,0.0,0.0,0.0,-0.0051333611207901864,1.3095635458886187e-05,1.5840777979943797e-06,0.018305521217438156,0.15991207362826473,-0.00024262424111695858
0.0381,0.11430000000000001,0.1524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.11430000000000001,0.1905,0.0,0.0,0.0,-0.0051217521980479706,1.1892854335246211e-05,-0.0051104481961826076,0.00099106596515805847,-0.17287912086987733,-8.5458899259401672e-07
0.0762,0.11430000000000001,0.1905,0.0,0.0,0.0,-0.0051560210744315063,1.1629627357969955e-06,0.0051214089917902125,-0.0017988051175324717,-0.00052560008774879064,-6.4901580940049993e-05
0.0381,0.1524,0.1905,0.0,0.0,0.0,-0.0051333611207380735,1.3095635458900861e-05,-1.5840777980167979e-06,-0.018305521217452787,-0.159912073626856,-0.00024262424127633662
0.0381,0.11430000000000001,0.22860000000000003,0.0,0.0,0.0,-0.010233656516088997,1.5778521900591178e-05,1.0715827483735758e-05,0.00040727377584835934,0.0026500412976820055,-0.0019719397483902402
0.0,0.11430000000000001,0.2667,0.0,0.0,0.0,-0.0051666249274144845,0.00019592345969370679,0.0050769406909790234,-0.00091790996560683522,0.15058729812512325,-0.0038648289462824342
0.0762,0.11430000000000001,0.2667,0.0,0.0,0.0,-0.0051562526266117964,-0.0002001830802865282,-0.0050501263485190854,0.0030755838640996011,0.00033461018863209887,0.0004021874797673054
0.0381,0.1524,0.2667,0.0,0.0,0.0,-0.0049641879146537435,-4.4411750259911474e-06,2.6925914610911577e-05,0.016335228861920816,0.14977744313762659,-0.02206191770204987
0.0381,0.11430000000000001,0.3048,0.0,0.0,0.0,-9.7975374623408327e-05,-2.1045092581153243e-05,8.4357011577319587e-06,-0.0024954819656337781,0.15157739087904673,-0.0053694701698139167
0.11430000000000001,0.0,0.0381,0.0,0.0,0.0,-0.005348786462198842,3.8512006591425519e-06,-0.00024358629359780016,0.023162584903792641,0.15051410911251303,-0.022076889538892797
0.11430000000000001,0.0381,0.0,0.0,0.0,0.0,-0.010215147884327895,0.00023668044622314995,-8.8879592067331594e-06,0.0043102910438175381,0.15161637686429139,-0.0046299986972335241
0.1524,0.0381,0.0381,0.0,0.0,0.0,-0.0051460747874261257,-0.00019664994143684612,-0.0050779581975231025,0.0058813756789097265,0.15136234073834284,-0.0031483199873450682
0.11430000000000001,0.0762,0.0381,0.0,0.0,0.0,-0.0049517079473267297,-1.2205153479325184e-15,0.00022584210839040353,-1.8712850887588912e-15,0.14919821974538483,-1.4302934082997121e-14
0.11430000000000001,0.0381,0.0762,0.0,0.0,0.0,-7.845308344477121e-05,-0.00023248762641821924,-1.1368368154482759e-05,0.00021647170544538907,0.0024775081977708824,-0.0028401695107430117
0.11430000000000001,0.0,0.11430000000000001,0.0,0.0,0.0,-0.0051774561526468149,-1.1156205918585004e-05,0.00022017400469746975,-0.02611562854188022,-0.16080380962912905,-0.00019258863081275215
